mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.003572702407836914,0.0024440749933139078,0.0,0.0,True,5,,1,1,50,"{'bootstrap': True, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 50}",,,,,,,,,,,,,73
0.0032080888748168947,0.0013188767492881377,0.0,0.0,True,5,,1,1,100,"{'bootstrap': True, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 100}",,,,,,,,,,,,,73
0.003000044822692871,0.0009502242114025182,0.0,0.0,True,5,,1,1,200,"{'bootstrap': True, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 200}",,,,,,,,,,,,,73
0.0028902292251586914,0.0005400162948385155,0.0,0.0,True,5,,1,1,500,"{'bootstrap': True, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 500}",,,,,,,,,,,,,73
1.7918631792068482,0.3596930166983745,0.011667346954345703,0.00157443043664165,True,5,,1,2,50,"{'bootstrap': True, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",-12750.137256343744,-13029.883506837976,-12414.478075302975,-12190.081401168853,-12784.640993914592,-12445.653733317766,-12879.660680774845,-12374.353362768516,-12960.467637853291,-12138.532949372631,-12596.78895976552,306.53219803194264,72
3.2561905860900877,0.38302039660183895,0.020787692070007323,0.0029039374839495017,True,5,,1,2,100,"{'bootstrap': True, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-12731.286816735097,-13003.673475223477,-12474.094001678552,-12161.265565724345,-12789.375893225984,-12448.957504364014,-12840.9771237917,-12407.08335622107,-12969.062977078802,-12129.355872940301,-12595.513258698335,300.0007773409662,71
6.606448006629944,0.592228463448924,0.041606473922729495,0.005921547907852451,True,5,,1,2,200,"{'bootstrap': True, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-12713.101783787328,-13045.676795324649,-12473.633332252071,-12155.675693525509,-12776.393313751856,-12449.517374979798,-12813.878883401989,-12360.34859586229,-12962.839465108715,-12132.474197810845,-12588.353943580505,305.0615649536987,64
16.360198783874512,0.3966725503455743,0.10527272224426269,0.0222772183225045,True,5,,1,2,500,"{'bootstrap': True, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",-12702.93133877594,-13022.47380449877,-12458.115580332213,-12171.218384145786,-12752.761670635653,-12452.446373191824,-12810.84716990921,-12357.648927209415,-12951.424245080823,-12103.295848902158,-12578.316334268178,301.14362206806913,50
1.6942095756530762,0.2817890974660227,0.012062406539916993,0.0021796047835451267,True,5,,1,5,50,"{'bootstrap': True, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",-12654.409458414397,-13024.904450649823,-12476.756538166323,-12126.693404493311,-12785.569720221049,-12453.610864262559,-12819.250570670143,-12377.845525937391,-12970.74549124419,-12141.312386483733,-12583.10984105429,303.4790536710861,57
3.221959447860718,0.37210725847310405,0.0204317569732666,0.0007593896208489073,True,5,,1,5,100,"{'bootstrap': True, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-12754.882399423162,-13002.763705526635,-12439.988683235983,-12160.801434747602,-12744.387069797798,-12454.212129311427,-12825.337021675003,-12351.257076830032,-12971.458120797546,-12136.446843548681,-12584.153448489385,301.63044244518574,58
6.516416835784912,0.48856682857236,0.03867514133453369,0.002083188007276068,True,5,,1,5,200,"{'bootstrap': True, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-12719.636674967329,-13016.328465588007,-12432.795032036112,-12171.461945910442,-12777.194939691544,-12451.800293070846,-12819.543174165696,-12364.422831404372,-12947.845043638452,-12102.644510111251,-12580.367291058405,303.44784114336545,52
16.295679330825806,0.31350433295544955,0.10109200477600097,0.016845382595881208,True,5,,1,5,500,"{'bootstrap': True, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",-12706.59543238834,-13019.798613122812,-12455.169854567574,-12170.453438628962,-12746.821443860701,-12451.473049927961,-12810.335610925493,-12378.396920214896,-12956.327923529612,-12109.640082586955,-12580.50123697533,298.9424169908934,53
0.0023129940032958984,9.563516942565229e-05,0.0,0.0,True,5,,2,1,50,"{'bootstrap': True, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 1, 'n_estimators': 50}",,,,,,,,,,,,,73
0.002353262901306152,0.00012042121204586865,0.0,0.0,True,5,,2,1,100,"{'bootstrap': True, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 1, 'n_estimators': 100}",,,,,,,,,,,,,73
0.0022791147232055662,0.0001779495343113745,0.0,0.0,True,5,,2,1,200,"{'bootstrap': True, 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 1, 'n_estimators': 200}",,,,,,,,,,,,,73
